frame,valid_eye_gaze,left_eye_intersection,right_eye_intersection,avg_eye_intersection
962.0,1,[],[],[]
963.0,1,[],[],[]
963.0,1,[],[],[]
963.0,0,[],[],[]
964.0,1,[],[],[]
964.0,1,[],[],[]
964.0,1,[],[],[]
965.0,1,[],[],[]
965.0,1,[],[],[]
965.0,1,[],[],[]
966.0,1,[],[],[]
966.0,1,[],[],[]
966.0,1,[],[],[]
967.0,1,[],[],[]
967.0,1,[],[],[]
967.0,1,[],[],[]
968.0,1,[],[],[]
968.0,1,[],[],[]
968.0,1,[],[],[]
969.0,1,[],[],[]
969.0,1,[],[],[]
969.0,1,[],[],[]
970.0,1,[],[],[]
970.0,1,[],[],[]
970.0,0,[],[],[]
971.0,1,[],[],[]
971.0,1,[],[],[]
971.0,1,[],[],[]
972.0,1,[],[],[]
972.0,1,[],[],[]
972.0,1,[],[],[]
973.0,1,[],[],[]
973.0,1,[],[],[]
973.0,1,[],[],[]
974.0,1,[],[],[]
974.0,1,[],[],[]
974.0,0,[],[],[]
975.0,1,[],[],[]
975.0,1,[],[],[]
975.0,1,[],[],[]
976.0,1,[],[],[]
976.0,1,[],[],[]
976.0,1,[],[],[]
977.0,1,[],[],[]
977.0,1,[],[],[]
977.0,1,[],[],[]
978.0,1,[],[],[]
978.0,1,[],[],[]
978.0,1,[],[],[]
979.0,1,[],[],[]
979.0,1,[],[],[]
979.0,1,[],[],[]
980.0,1,[],[],[]
980.0,1,[],[],[]
980.0,1,[],[],[]
981.0,1,[],[],[]
981.0,1,[],[],[]
981.0,1,[],[],[]
982.0,1,[],[],[]
982.0,1,[],[],[]
982.0,1,[],[],[]
983.0,1,[],[],[]
983.0,1,[],[],[]
983.0,1,[],[],[]
984.0,1,[],[],[]
984.0,1,[],[],[]
984.0,1,[],[],[]
985.0,1,[],[],[]
985.0,1,[],[],[]
985.0,1,[],[],[]
986.0,1,[],[],[]
986.0,1,[],[],[]
986.0,1,[],[],[]
987.0,1,[],[],[]
987.0,1,[],[],[]
987.0,0,[],[],[]
988.0,1,[],[],[]
988.0,1,[],[],[]
988.0,0,[],[],[]
989.0,1,[],[],[]
989.0,1,[],[],[]
989.0,0,[],[],[]
990.0,1,[],[],[]
990.0,1,[],[],[]
990.0,0,[],[],[]
991.0,1,[],[],[]
991.0,1,[],[],[]
991.0,0,[],[],[]
992.0,1,[],[],[]
992.0,0,[],[],[]
993.0,1,[],[],[]
994.0,1,[],[],[]
995.0,1,[],[],[]
996.0,1,[],[],[]
997.0,1,[],[],[]
998.0,1,[],[],[]
999.0,1,[],[],[]
1000.0,1,[],[],[]
1001.0,1,[],[],[]
1002.0,1,[],[],[]
1003.0,1,[],[],[]
1004.0,1,[],[],[]
1005.0,1,[],[],[]
1006.0,1,[],[],[]
1007.0,1,[],[],[]
1008.0,1,[],[],[]
