frame,valid_eye_gaze,left_eye_intersection,right_eye_intersection,avg_eye_intersection
2822.0,1,"[['parent', [222.01411909945654, 180.6, 1082.40255627467]]]","[['parent', [313.5761581137579, 180.6, 1105.5081450122584]]]","[['parent', [266.64797124166097, 180.6, 1095.4527267444182]]]"
2823.0,1,"[['parent', [218.43780282400778, 177.4, 1076.7177376032291]]]","[['parent', [308.57883254728364, 177.4, 1101.6968064116945]]]","[['parent', [262.51723630027163, 177.4, 1090.817136923023]]]"
2824.0,1,"[['parent', [216.10784817866704, 176.6, 1076.3241856584536]]]","[['parent', [307.00726538175013, 176.6, 1108.3275376783636]]]","[['parent', [260.653087836689, 176.6, 1093.8406043398245]]]"
2825.0,1,"[['parent', [214.08212150735739, 177.6, 1084.8201139329406]]]","[['parent', [306.14005656348627, 177.6, 1119.983396447148]]]","[['parent', [259.33897093786794, 177.6, 1104.0016449106363]]]"
2826.0,1,"[['parent', [209.53353102130177, 178.3, 1081.952307769837]]]","[['parent', [302.59576237279293, 178.3, 1115.4679038009917]]]","[['parent', [255.12528690338056, 178.3, 1100.141834877601]]]"
2827.0,1,"[['parent', [207.32368951161646, 180.0, 1081.6771017055373]]]","[['parent', [300.98681591067253, 180.0, 1115.4792118555936]]]","[['parent', [253.12180889039908, 180.0, 1099.919081212163]]]"
2828.0,1,"[['parent', [207.31460896828042, 182.1, 1087.5487208918805]]]","[['parent', [300.2795932914463, 182.1, 1119.0950988189445]]]","[['parent', [252.61987170952983, 182.1, 1104.6166747704413]]]"
2829.0,1,"[['parent', [206.3938089184872, 183.5, 1096.8737873197292]]]","[['parent', [299.4387052521687, 183.5, 1129.0133249537937]]]","[['parent', [251.8438627450036, 183.5, 1114.2799013965346]]]"
2830.0,1,"[['parent', [206.5647984483943, 184.3, 1111.6137335922997]]]","[['parent', [298.8765310655459, 184.3, 1146.1844204858]]]","[['parent', [251.81276831341563, 184.3, 1130.1990016568893]]]"
2831.0,1,"[['parent', [211.32558998224238, 183.0, 1132.7543805383277]]]","[['parent', [299.0031509652084, 183.0, 1164.262779470053]]]","[['parent', [254.55307499175282, 183.0, 1149.864130360472]]]"
2832.0,1,"[['parent', [215.84798930481284, 181.7, 1147.0969048128343]]]","[['parent', [304.6212986865217, 181.7, 1185.9193882050079]]]","[['parent', [259.81246051143523, 181.7, 1167.8180190364747]]]"
2833.0,0,[],[],[]
2834.0,1,"[['parent', [193.03945777929854, 184.3, 1068.6561929891807]]]","[['parent', [273.1689431640895, 184.3, 1097.8263502972136]]]","[['parent', [233.04429882474054, 184.3, 1083.8885969501994]]]"
2835.0,1,"[['parent', [180.39783452770868, 187.1, 1012.6690168361777]]]","[['parent', [268.4203278953053, 187.1, 1054.4502543930134]]]","[['parent', [224.4669963190191, 187.1, 1034.1393137284722]]]"
2836.0,0,[],[],[]
2837.0,1,"[['parent', [207.09053215472557, 170.7, 993.7989821823436]]]","[['parent', [285.4997072296913, 170.7, 999.906159745482]]]","[['parent', [245.50860538310468, 170.7, 998.2453540860595]]]"
2838.0,1,"[['parent', [228.08627819447617, 175.8, 1026.3130241824701]]]","[['parent', [310.44197080291974, 175.8, 1030.4829327014943]]]","[['parent', [267.98298692594454, 175.8, 1029.7012601934216]]]"
2839.0,1,"[['parent', [240.08146406261218, 177.1, 1033.4576362461405]]]","[['parent', [335.68564352915604, 177.1, 1051.5730851978035]]]","[['parent', [285.71350777424925, 177.1, 1043.4380880909885]]]"
2840.0,1,"[['parent', [244.20671958229852, 176.6, 1042.8221827651068]]]","[['parent', [348.5362910562175, 176.6, 1080.0743133175988]]]","[['parent', [293.63515698657056, 176.6, 1061.9680814473802]]]"
2841.0,1,"[['parent', [248.23732255781655, 177.6, 1038.274301679149]]]","[['parent', [346.38486239670704, 177.6, 1070.3376594512415]]]","[['parent', [295.3047410395443, 177.6, 1055.325503596897]]]"
2842.0,0,[],[],[]
2843.0,0,[],[],[]
2844.0,0,[],[],[]
2845.0,0,[],[],[]
2846.0,0,[],[],[]
2847.0,0,[],[],[]
2849.0,1,"[['parent', [250.1779510992029, 80.45040801132723, 890.4]]]","[['parent', [303.37794545866683, 78.90336611393, 890.4]]]","[['parent', [276.08446290657724, 78.92519175496321, 890.4]]]"
2850.0,1,"[['parent', [256.64890294912175, 81.985609078498, 905.9]]]","[['parent', [308.86833689849965, 81.09874773084903, 905.9]]]","[['parent', [281.93449959957815, 80.86341579097518, 905.9]]]"
2851.0,1,"[['parent', [259.56131349012475, 84.02807339563259, 912.5]]]","[['parent', [312.3980227951982, 81.171780882932, 912.5]]]","[['parent', [284.9884953953651, 81.99760818437018, 912.5]]]"
2852.0,1,"[['parent', [265.2643172148315, 87.72928297938878, 923.6]]]","[['parent', [317.5918400267945, 81.64001133203284, 923.6]]]","[['parent', [290.38001329759106, 84.17880229195505, 923.6]]]"
2853.0,1,"[['parent', [269.73395847569753, 169.3, 1133.4089697436718]]]","[['parent', [308.9333261280617, 62.499993013069925, 911.0]]]","[['parent', [295.24266089005675, 70.55256662912916, 911.0]]]"
2854.0,1,"[['parent', [297.37760304826634, 171.8, 1151.985645029326]]]","[['parent', [429.5, 140.73474426564357, 1211.3710234643768]]]","[['parent', [280.9678840506116, 71.42174057916495, 911.6]]]"
2855.0,1,"[['parent', [239.44841515821534, 69.16095161484589, 884.9]]]","[['parent', [411.8, 130.32754679958595, 1123.8388575829256]]]","[['parent', [254.89540018325062, 67.94074028954353, 884.9]]]"
2856.0,1,"[['parent', [216.8990190598221, 72.52309215636811, 862.3]]]","[['parent', [400.6, 126.77054942841318, 1075.9643668899298]]]","[['parent', [235.93089891219842, 67.94709194777457, 862.3]]]"
2857.0,1,"[['parent', [315.4792025338339, 170.3, 1123.3425586568853]]]","[['parent', [393.2, 119.5995771231957, 1041.0396295736825]]]","[['parent', [393.2, 162.50860574977156, 1142.4143294245698]]]"
2858.0,1,"[['parent', [307.37662901797404, 169.2, 1075.2544741864265]]]","[['parent', [389.6, 122.2307196877953, 1052.9406297651983]]]","[['parent', [389.6, 165.39992318756703, 1126.922850102984]]]"
2859.0,1,"[['parent', [311.06447330483513, 167.1, 1093.085176317208]]]","[['parent', [385.7, 118.34230889801034, 1034.1312292440168]]]","[['parent', [385.7, 159.39663908066157, 1117.5714839412835]]]"
2860.0,1,"[['parent', [306.03334147334147, 164.5, 1057.2560968660969]]]","[['parent', [381.7, 122.22873639631243, 1029.4203678403833]]]","[['parent', [381.7, 162.2367700432743, 1099.2187828229546]]]"
2861.0,1,"[['parent', [299.3466982678501, 162.7, 1051.345702860649]]]","[['parent', [379.7, 120.76641863149837, 999.7362299700098]]]","[['parent', [379.7, 161.3769905267327, 1082.5704652721404]]]"
2862.0,1,"[['parent', [292.36502286509307, 162.8, 1023.2093526742474]]]","[['parent', [379.7, 116.58107912433486, 957.9615078366287]]]","[['parent', [379.7, 159.78215997536125, 1050.1250943530551]]]"
2863.0,1,"[['parent', [284.4935367251317, 163.5, 1047.4492359464714]]]","[['parent', [381.6, 121.31013923917936, 989.6244488706087]]]","[['parent', [371.7050346288695, 163.5, 1077.9720760545492]]]"
2864.0,1,"[['parent', [285.61938875340905, 165.0, 1041.8886404236591]]]","[['parent', [382.7, 119.04423461814554, 995.1561658971177]]]","[['parent', [380.5325208524513, 165.0, 1085.9279249397196]]]"
2865.0,1,"[['parent', [317.7309142063464, 166.4, 1128.7680287759536]]]","[['parent', [399.3, 117.71119938917278, 1157.240371284001]]]","[['parent', [216.00528398840743, 59.63094725645031, 865.5]]]"
2866.0,0,[],[],[]
2867.0,0,[],[],[]
2868.0,0,[],[],[]
2869.0,1,"[['parent', [209.47635560784315, 72.05602949019608, 818.8]]]","[['parent', [399.7, 51.21849347849424, 1109.1508485114148]]]","[['parent', [228.24034426985398, 61.49704429362902, 818.8]]]"
2870.0,1,"[['parent', [235.43756472968397, 160.3, 1027.4475838319975]]]","[['parent', [403.6, 78.68277662990116, 1064.5392751510478]]]","[['parent', [207.1390509062039, 49.32268794523433, 753.1]]]"
