session,num_clusters_child,eps_max_child,child_noise,child_info,num_clusters_parent,eps_max_parent,parent_noise,parent_info,video
,1,0.95,331,"[{'cluster': 0, 'x_mean': -0.19014721596820108, 'x_std': 0.11750713686631264, 'y_mean': 0.4403967530670336, 'y_std': 0.08070391731703981, 'z_mean': -0.8601990650701716, 'z_std': 0.039623759430640136}, {'cluster': -1, 'x_mean': -0.3417893806646528, 'x_std': 0.3011114307146641, 'y_mean': 0.2764843444108763, 'y_std': 0.17902408735784212, 'z_mean': -0.8147417613293042, 'z_std': 0.12542733947569182}]",1,0.95,738,"[{'cluster': 0, 'x_mean': 0.4289285546768316, 'x_std': 0.10037223368387964, 'y_mean': 0.47181151860491644, 'y_std': 0.04547667747232845, 'z_mean': -0.7568042833409214, 'z_std': 0.054187871715412235}, {'cluster': -1, 'x_mean': 0.2592667262872631, 'x_std': 0.37661468554730376, 'y_mean': 0.41443428726287196, 'y_std': 0.13216951790274728, 'z_mean': -0.7627020189701889, 'z_std': 0.12441443575265539}]",training_session_0
,1,0.95,458,"[{'cluster': 0, 'x_mean': -0.15106761300013638, 'x_std': 0.09800090871264117, 'y_mean': 0.4385052819882536, 'y_std': 0.08158886516297999, 'z_mean': -0.8708921570394647, 'z_std': 0.041627936224445855}, {'cluster': -1, 'x_mean': -0.27732012554585134, 'x_std': 0.2388987845454247, 'y_mean': 0.21708330349344984, 'y_std': 0.19929434508491617, 'z_mean': -0.8734783406113538, 'z_std': 0.10183310459138871}]",1,0.95,662,"[{'cluster': 0, 'x_mean': 0.4449732877998542, 'x_std': 0.11699752527182247, 'y_mean': 0.3525445363460144, 'y_std': 0.08554895291431953, 'z_mean': -0.8045091906954225, 'z_std': 0.058425543835872236}, {'cluster': -1, 'x_mean': 0.19132697734138954, 'x_std': 0.3152548276491648, 'y_mean': 0.43525712235649583, 'y_std': 0.2573572915268713, 'z_mean': -0.7621348330815708, 'z_std': 0.1474390996675716}]",training_session_1
,2,0.95,436,"[{'cluster': 0, 'x_mean': -0.09176623522805834, 'x_std': 0.12038734582681929, 'y_mean': 0.43242843590186597, 'y_std': 0.08598191152325498, 'z_mean': -0.8786627728489963, 'z_std': 0.046254654760451}, {'cluster': 1, 'x_mean': -0.7086507457386371, 'x_std': 0.07724336521796642, 'y_mean': 0.3201719950284088, 'y_std': 0.10403131567600553, 'z_mean': -0.6080753295454541, 'z_std': 0.06651382696101135}, {'cluster': -1, 'x_mean': -0.5643815355504586, 'x_std': 0.3083509512148407, 'y_mean': 0.27381370642201824, 'y_std': 0.24148629232454374, 'z_mean': -0.6319237270642204, 'z_std': 0.2214448228760177}]",1,0.95,659,"[{'cluster': 0, 'x_mean': 0.44197479088384933, 'x_std': 0.08429060471236016, 'y_mean': 0.4438636681166114, 'y_std': 0.06725380763661883, 'z_mean': -0.767056888894031, 'z_std': 0.03964800323531519}, {'cluster': -1, 'x_mean': 0.5276891198786041, 'x_std': 0.2716966012803441, 'y_mean': 0.31487888846737505, 'y_std': 0.1629703626849758, 'z_mean': -0.7041641805766301, 'z_std': 0.14808469498291818}]",training_session_2
,1,0.95,461,"[{'cluster': 0, 'x_mean': -0.1797062624838111, 'x_std': 0.116782059951339, 'y_mean': 0.42408007065764974, 'y_std': 0.0986109365583825, 'z_mean': -0.8680636592315423, 'z_std': 0.04657517064282103}, {'cluster': -1, 'x_mean': -0.43839512689804766, 'x_std': 0.22456362741148436, 'y_mean': 0.22903484707158364, 'y_std': 0.2673726263830186, 'z_mean': -0.7774028590021693, 'z_std': 0.1435195189590746}]",1,0.95,711,"[{'cluster': 0, 'x_mean': 0.4488902405978115, 'x_std': 0.10588627609986144, 'y_mean': 0.4158327042520357, 'y_std': 0.08740779677172435, 'z_mean': -0.7736722606651686, 'z_std': 0.043343350146740574}, {'cluster': -1, 'x_mean': 0.332485772855134, 'x_std': 0.32047424823811355, 'y_mean': 0.3433637637130805, 'y_std': 0.26611353749232675, 'z_mean': -0.7530102102672294, 'z_std': 0.15928123081262568}]",training_session_3
,1,0.95,118,"[{'cluster': 0, 'x_mean': -0.21512881648715834, 'x_std': 0.11145887018134826, 'y_mean': 0.4493409954432475, 'y_std': 0.07620858114190841, 'z_mean': -0.8503759544324784, 'z_std': 0.036493818030633035}, {'cluster': -1, 'x_mean': -0.42853884745762705, 'x_std': 0.24702936754421076, 'y_mean': 0.28466747033898304, 'y_std': 0.18013081482377793, 'z_mean': -0.7914272627118646, 'z_std': 0.0983664935641482}]",1,0.95,140,"[{'cluster': 0, 'x_mean': 0.40440000150240346, 'x_std': 0.09486748057055865, 'y_mean': 0.43273121724759595, 'y_std': 0.09031697568675649, 'z_mean': -0.7894906457331733, 'z_std': 0.04979348445178256}, {'cluster': -1, 'x_mean': 0.3667094464285714, 'x_std': 0.26590410187906177, 'y_mean': 0.012787392857142898, 'y_std': 0.31976876900852264, 'z_mean': -0.816468610714286, 'z_std': 0.14588615267593621}]",training_session_4
,1,0.95,349,"[{'cluster': 0, 'x_mean': -0.21882106068552157, 'x_std': 0.14871254744266132, 'y_mean': 0.43442820790410225, 'y_std': 0.10016513280985136, 'z_mean': -0.8483798218767554, 'z_std': 0.05942880592317808}, {'cluster': -1, 'x_mean': -0.525736114613181, 'x_std': 0.277288815869413, 'y_mean': 0.33487119914040114, 'y_std': 0.2304672139607502, 'z_mean': -0.6631832564469914, 'z_std': 0.18560071813775242}]",1,0.95,555,"[{'cluster': 0, 'x_mean': 0.3480894016254667, 'x_std': 0.11135848104000129, 'y_mean': 0.4914107998645435, 'y_std': 0.06910952686919926, 'z_mean': -0.7822543714019673, 'z_std': 0.047207679105696454}, {'cluster': -1, 'x_mean': 0.38213998648648717, 'x_std': 0.3612252929053553, 'y_mean': 0.26604023063063076, 'y_std': 0.2021424458209564, 'z_mean': -0.7602688315315328, 'z_std': 0.16979893499114287}]",training_session_5
,1,0.95,578,"[{'cluster': 0, 'x_mean': -0.1318760233681612, 'x_std': 0.12091495939603397, 'y_mean': 0.4395996876755429, 'y_std': 0.07607477800778277, 'z_mean': -0.8713107655319617, 'z_std': 0.04110789977851672}, {'cluster': -1, 'x_mean': -0.0841190666089965, 'x_std': 0.3843732296077887, 'y_mean': 0.2131369870242217, 'y_std': 0.26776826711027635, 'z_mean': -0.8450235216262973, 'z_std': 0.09677796973537599}]",2,0.95,491,"[{'cluster': 0, 'x_mean': 0.38681095767429896, 'x_std': 0.06505880652503881, 'y_mean': 0.5377050316968245, 'y_std': 0.05242691699601891, 'z_mean': -0.7384746662659777, 'z_std': 0.036569213514130665}, {'cluster': 1, 'x_mean': 0.5933529435736679, 'x_std': 0.027737065199994682, 'y_mean': 0.3014810360501568, 'y_std': 0.03259765157312436, 'z_mean': -0.7405658087774297, 'z_std': 0.02272874792196244}, {'cluster': -1, 'x_mean': 0.2876006171079429, 'x_std': 0.32429949300519506, 'y_mean': 0.3614108452138495, 'y_std': 0.17193980638254724, 'z_mean': -0.7978451425661913, 'z_std': 0.09449607206815121}]",training_session_6
,1,0.95,164,"[{'cluster': 0, 'x_mean': -0.17780492070720616, 'x_std': 0.10817693006359008, 'y_mean': 0.41433036003214685, 'y_std': 0.07870003260931618, 'z_mean': -0.8769025892043916, 'z_std': 0.039429147463439645}, {'cluster': -1, 'x_mean': -0.19510536890243896, 'x_std': 0.34090448441138754, 'y_mean': 0.2115299420731707, 'y_std': 0.20109464151005235, 'z_mean': -0.8618409237804884, 'z_std': 0.10866712893924053}]",1,0.95,284,"[{'cluster': 0, 'x_mean': 0.3765888203125003, 'x_std': 0.12898413184510327, 'y_mean': 0.437686800390625, 'y_std': 0.08185681299503099, 'z_mean': -0.7979164334635441, 'z_std': 0.03125171687436388}, {'cluster': -1, 'x_mean': 0.3266140475352114, 'x_std': 0.23271151957484298, 'y_mean': 0.2578101866197182, 'y_std': 0.19602931415893018, 'z_mean': -0.845750466549296, 'z_std': 0.1137696589999091}]",training_session_7
,1,0.95,212,"[{'cluster': 0, 'x_mean': -0.17941007520833285, 'x_std': 0.1730142048199326, 'y_mean': 0.43328604375000046, 'y_std': 0.08489419495578206, 'z_mean': -0.8524763598611084, 'z_std': 0.09000361233921977}, {'cluster': -1, 'x_mean': -0.3352047594339622, 'x_std': 0.41222514452079834, 'y_mean': 0.23210888443396233, 'y_std': 0.18102353513259664, 'z_mean': -0.7784738514150943, 'z_std': 0.14631997659615673}]",1,0.95,434,"[{'cluster': 0, 'x_mean': 0.404361559868125, 'x_std': 0.09018757022576131, 'y_mean': 0.4634205378390537, 'y_std': 0.08528706224279949, 'z_mean': -0.7737306050502005, 'z_std': 0.04229172001247068}, {'cluster': -1, 'x_mean': 0.49817341474654386, 'x_std': 0.2837841987585802, 'y_mean': 0.34520505529953915, 'y_std': 0.17866391303739584, 'z_mean': -0.6932699781105991, 'z_std': 0.18639364254142457}]",training_session_8
,1,0.95,312,"[{'cluster': 0, 'x_mean': -0.07598229254429939, 'x_std': 0.1339185858010227, 'y_mean': 0.397642241892343, 'y_std': 0.08071544593935055, 'z_mean': -0.8955501515100898, 'z_std': 0.03953100252986362}, {'cluster': -1, 'x_mean': -0.31691800320512836, 'x_std': 0.27240923278039175, 'y_mean': 0.3005316474358973, 'y_std': 0.20811199796277244, 'z_mean': -0.8207307772435899, 'z_std': 0.1114343730040887}]",1,0.95,655,"[{'cluster': 0, 'x_mean': 0.40808074112250925, 'x_std': 0.09373667413391162, 'y_mean': 0.44833643593410955, 'y_std': 0.07765191798123297, 'z_mean': -0.7812490880351123, 'z_std': 0.03792214466785135}, {'cluster': -1, 'x_mean': 0.17127426870229012, 'x_std': 0.2816117250986788, 'y_mean': 0.3948749251908397, 'y_std': 0.16557689292896888, 'z_mean': -0.8301729793893131, 'z_std': 0.11349823195512253}]",training_session_9
