session,num_clusters_child,eps_max_child,child_noise,child_info,num_clusters_parent,eps_max_parent,parent_noise,parent_info,video
,1,0.95,174,"[{'cluster': 0, 'x_mean': -0.06172611433784401, 'x_std': 0.17322620083386778, 'y_mean': 0.5142755311692248, 'y_std': 0.08713338357533139, 'z_mean': -0.8271673173939479, 'z_std': 0.052873153680583956}, {'cluster': -1, 'x_mean': -0.11403285344827588, 'x_std': 0.41477766509730885, 'y_mean': 0.3138393534482758, 'y_std': 0.14442054086635367, 'z_mean': -0.8225132499999998, 'z_std': 0.1228640819004564}]",1,0.95,799,"[{'cluster': 0, 'x_mean': 0.575116501600762, 'x_std': 0.07935787764803467, 'y_mean': 0.46873776062126526, 'y_std': 0.06875020725533632, 'z_mean': -0.65639395868305, 'z_std': 0.05065910950714522}, {'cluster': -1, 'x_mean': 0.255462769086358, 'x_std': 0.33477023103932857, 'y_mean': 0.35081161889862367, 'y_std': 0.2530602723262939, 'z_mean': -0.7878096708385486, 'z_std': 0.08976821889304279}]",training_session_0
,1,0.95,280,"[{'cluster': 0, 'x_mean': -0.02871114513400994, 'x_std': 0.1431510271643844, 'y_mean': 0.5383922520166556, 'y_std': 0.08935277016869884, 'z_mean': -0.8193008276086401, 'z_std': 0.05113179399713324}, {'cluster': -1, 'x_mean': -0.06828285892857142, 'x_std': 0.3094900295195463, 'y_mean': 0.20888598571428577, 'y_std': 0.12460272526728236, 'z_mean': -0.9094254499999996, 'z_std': 0.08811415101710526}]",1,0.95,816,"[{'cluster': 0, 'x_mean': 0.4928695100638983, 'x_std': 0.0844068741101556, 'y_mean': 0.5071426266773152, 'y_std': 0.06466227378433846, 'z_mean': -0.6931225800851982, 'z_std': 0.047438242079229156}, {'cluster': -1, 'x_mean': 0.1641155073529412, 'x_std': 0.29339600225643964, 'y_mean': 0.25965976960784287, 'y_std': 0.20424136906548238, 'z_mean': -0.8713914859068622, 'z_std': 0.10364755591875176}]",training_session_1
,1,0.95,74,"[{'cluster': 0, 'x_mean': -0.0923266822237471, 'x_std': 0.19640367031211545, 'y_mean': 0.5084931441317784, 'y_std': 0.11216263615845913, 'z_mean': -0.819234661153052, 'z_std': 0.05837076487725644}, {'cluster': -1, 'x_mean': 0.04639673648648648, 'x_std': 0.3365692812251069, 'y_mean': 0.21606058783783785, 'y_std': 0.17979059763592556, 'z_mean': -0.888314777027027, 'z_std': 0.11639101135067882}]",1,0.95,542,"[{'cluster': 0, 'x_mean': 0.5263525801739646, 'x_std': 0.08843618435907727, 'y_mean': 0.4421902991869162, 'y_std': 0.11161267947169409, 'z_mean': -0.70664815968611, 'z_std': 0.0509433478918171}, {'cluster': -1, 'x_mean': 0.404725642066421, 'x_std': 0.25155500502261907, 'y_mean': 0.1452873957564574, 'y_std': 0.21969425632393988, 'z_mean': -0.8236811881918814, 'z_std': 0.1328270629592982}]",training_session_2
,1,0.95,232,"[{'cluster': 0, 'x_mean': -0.18580728823472092, 'x_std': 0.10569722939233855, 'y_mean': 0.5140753397017248, 'y_std': 0.08742738970556918, 'z_mean': -0.8204223034408816, 'z_std': 0.05026302991048648}, {'cluster': -1, 'x_mean': -0.05794345905172412, 'x_std': 0.3376240458327479, 'y_mean': 0.3021717327586206, 'y_std': 0.17640893273701008, 'z_mean': -0.863061290948276, 'z_std': 0.10237998223623088}]",1,0.95,456,"[{'cluster': 0, 'x_mean': 0.5137402277668973, 'x_std': 0.07537678493656871, 'y_mean': 0.4475116822233108, 'y_std': 0.10954831934825676, 'z_mean': -0.7129612997061715, 'z_std': 0.06796381528362648}, {'cluster': -1, 'x_mean': 0.25084034100877184, 'x_std': 0.18809318466651798, 'y_mean': 0.1503763442982456, 'y_std': 0.3495705566090597, 'z_mean': -0.8612610624999996, 'z_std': 0.09129336614748298}]",training_session_3
,1,0.95,211,"[{'cluster': 0, 'x_mean': -0.08637949772329301, 'x_std': 0.20234363690709714, 'y_mean': 0.5047258713660245, 'y_std': 0.07686121907523374, 'z_mean': -0.825134983887917, 'z_std': 0.051370084509496296}, {'cluster': -1, 'x_mean': -0.09451560426540286, 'x_std': 0.3699477349328466, 'y_mean': 0.2351114170616115, 'y_std': 0.18611916026977887, 'z_mean': -0.8603379763033174, 'z_std': 0.12876799757358712}]",2,0.95,193,"[{'cluster': 0, 'x_mean': 0.44829654871323554, 'x_std': 0.14357463114320362, 'y_mean': 0.45332865698529207, 'y_std': 0.13234198069211386, 'z_mean': -0.736057230606617, 'z_std': 0.08196270815853895}, {'cluster': 1, 'x_mean': 0.7060674864341082, 'x_std': 0.03414895390389521, 'y_mean': -0.16598944186046508, 'y_std': 0.05606441511736169, 'z_mean': -0.6813810019379846, 'z_std': 0.028669901477585014}, {'cluster': -1, 'x_mean': 0.04205453886010363, 'x_std': 0.2461064566968265, 'y_mean': -0.0005674715025906729, 'y_std': 0.21731207635548044, 'z_mean': -0.935954196891191, 'z_std': 0.07500778646332458}]",training_session_4
,2,0.95,166,"[{'cluster': 0, 'x_mean': -0.20987963439194385, 'x_std': 0.10386818268415679, 'y_mean': 0.5094382903065167, 'y_std': 0.09621291100553504, 'z_mean': -0.816355400852054, 'z_std': 0.04833933957138563}, {'cluster': 1, 'x_mean': 0.32328680140186883, 'x_std': 0.007564743758135755, 'y_mean': 0.5748932087227405, 'y_std': 0.012276290199472763, 'z_mean': -0.7481811269470406, 'z_std': 0.007384007606240878}, {'cluster': -1, 'x_mean': -0.3149984066265061, 'x_std': 0.2618861649281854, 'y_mean': 0.1609598343373494, 'y_std': 0.17582790833544987, 'z_mean': -0.8733845030120483, 'z_std': 0.08748622263723474}]",2,0.95,252,"[{'cluster': 0, 'x_mean': 0.43443294067004795, 'x_std': 0.10031183594547566, 'y_mean': 0.4836262991190593, 'y_std': 0.1352341430250029, 'z_mean': -0.7352053695274978, 'z_std': 0.04936532763870821}, {'cluster': 1, 'x_mean': 0.20098020738636377, 'x_std': 0.0548271252908943, 'y_mean': 0.27496692471590906, 'y_std': 0.07274704325307545, 'z_mean': -0.932231829545454, 'z_std': 0.018252373687164}, {'cluster': -1, 'x_mean': 0.20376190873015868, 'x_std': 0.2609971278356942, 'y_mean': 0.07608600992063494, 'y_std': 0.281415560608918, 'z_mean': -0.8869457023809522, 'z_std': 0.10396023949728746}]",training_session_5
,1,0.95,266,"[{'cluster': 0, 'x_mean': -0.12844407107283692, 'x_std': 0.1431896408859703, 'y_mean': 0.4848400212180928, 'y_std': 0.09441655274239778, 'z_mean': -0.8420991162066828, 'z_std': 0.05029599723102734}, {'cluster': -1, 'x_mean': -0.05984307142857146, 'x_std': 0.394644263964471, 'y_mean': 0.2770809962406013, 'y_std': 0.18913653499125466, 'z_mean': -0.8444394548872179, 'z_std': 0.09984486239797986}]",1,0.95,493,"[{'cluster': 0, 'x_mean': 0.4512929306490394, 'x_std': 0.08582074857144827, 'y_mean': 0.49916189909855785, 'y_std': 0.12491286344411336, 'z_mean': -0.7173279554086565, 'z_std': 0.05421731425359034}, {'cluster': -1, 'x_mean': 0.3426895081135902, 'x_std': 0.2184968448689939, 'y_mean': 0.09301948275862057, 'y_std': 0.3047498130185924, 'z_mean': -0.8378160314401627, 'z_std': 0.15907217965726475}]",training_session_6
,1,0.95,508,"[{'cluster': 0, 'x_mean': -0.1066526139068563, 'x_std': 0.11661270078835859, 'y_mean': 0.5251072787192744, 'y_std': 0.05898471614005559, 'z_mean': -0.828873591203104, 'z_std': 0.034005333823358554}, {'cluster': -1, 'x_mean': 0.018897542322834665, 'x_std': 0.3526469236810631, 'y_mean': 0.34632103051181096, 'y_std': 0.11337791711198622, 'z_mean': -0.8528661082677159, 'z_std': 0.0958223920492467}]",1,0.95,61,"[{'cluster': 0, 'x_mean': 0.3882489980904134, 'x_std': 0.12381038232679273, 'y_mean': 0.35189134863600957, 'y_std': 0.31266099263428215, 'z_mean': -0.773343316913483, 'z_std': 0.0843794825431811}, {'cluster': -1, 'x_mean': 0.484048081967213, 'x_std': 0.3923736674036219, 'y_mean': 0.22904145901639344, 'y_std': 0.2564319608779668, 'z_mean': -0.6843404344262295, 'z_std': 0.15744385716802553}]",training_session_7
,1,0.95,88,"[{'cluster': 0, 'x_mean': -0.13680004254014955, 'x_std': 0.22000950665407534, 'y_mean': 0.4460978932205466, 'y_std': 0.1379108298302075, 'z_mean': -0.8385704620571315, 'z_std': 0.06735137367390885}, {'cluster': -1, 'x_mean': -0.2866360795454544, 'x_std': 0.37758862898204393, 'y_mean': 0.05337345454545455, 'y_std': 0.3306621417905435, 'z_mean': -0.8006673295454548, 'z_std': 0.1363603793863531}]",1,0.95,450,"[{'cluster': 0, 'x_mean': 0.4513563692755505, 'x_std': 0.07892337195166224, 'y_mean': 0.4881271342820184, 'y_std': 0.09118095219155757, 'z_mean': -0.7316743597671417, 'z_std': 0.0403420370487276}, {'cluster': -1, 'x_mean': 0.39170012777777774, 'x_std': 0.3270197054867047, 'y_mean': 0.24794176999999987, 'y_std': 0.17042628560082074, 'z_mean': -0.7914328511111112, 'z_std': 0.13458619372612496}]",training_session_8
,1,0.95,277,"[{'cluster': 0, 'x_mean': -0.022314787579617815, 'x_std': 0.15790102564584826, 'y_mean': 0.48482884570063683, 'y_std': 0.07368655812607504, 'z_mean': -0.8516810196656038, 'z_std': 0.040891227919402764}, {'cluster': -1, 'x_mean': -0.08619981227436822, 'x_std': 0.33305258150503436, 'y_mean': 0.4298318411552344, 'y_std': 0.22859323546593519, 'z_mean': -0.7905865451263534, 'z_std': 0.12153035629671192}]",1,0.95,490,"[{'cluster': 0, 'x_mean': 0.49086756838509293, 'x_std': 0.09385695816361089, 'y_mean': 0.4710831339751548, 'y_std': 0.1164870987435972, 'z_mean': -0.7115375466459645, 'z_std': 0.04955936912614115}, {'cluster': -1, 'x_mean': 0.03919135918367347, 'x_std': 0.18533138206154426, 'y_mean': 0.08048496020408162, 'y_std': 0.20456333575500438, 'z_mean': -0.9530967806122447, 'z_std': 0.04722126611027704}]",training_session_9
