session,num_clusters_child,eps_max_child,child_noise,child_info,num_clusters_parent,eps_max_parent,parent_noise,parent_info,video
,1,0.95,452,"[{'cluster': 0, 'x_mean': -0.00622486026445534, 'x_std': 0.2582768967465469, 'y_mean': 0.4827137261878077, 'y_std': 0.08557479742839008, 'z_mean': -0.8250139436071282, 'z_std': 0.06705081092019644}, {'cluster': -1, 'x_mean': 0.05143164491150443, 'x_std': 0.3637913190383228, 'y_mean': 0.13360555973451319, 'y_std': 0.3047744744651375, 'z_mean': -0.8482058285398231, 'z_std': 0.16555661552977907}]",1,0.95,303,"[{'cluster': 0, 'x_mean': 0.3024328592373025, 'x_std': 0.13113072991517927, 'y_mean': 0.5655244362281682, 'y_std': 0.07221297916086765, 'z_mean': -0.7459293331998103, 'z_std': 0.052245133052975706}, {'cluster': -1, 'x_mean': 0.2869434933993399, 'x_std': 0.28541906362926234, 'y_mean': 0.32359622937293725, 'y_std': 0.21888094972052874, 'z_mean': -0.8097331072607262, 'z_std': 0.14451434120476386}]",training_session_0
,1,0.95,120,"[{'cluster': 0, 'x_mean': -0.2057387659283566, 'x_std': 0.3019425413234385, 'y_mean': 0.4055104410263409, 'y_std': 0.10903065944111073, 'z_mean': -0.8189100001822976, 'z_std': 0.11069108177049691}, {'cluster': -1, 'x_mean': -0.22184493749999998, 'x_std': 0.5417370988754737, 'y_mean': 0.10611299166666664, 'y_std': 0.30791314651062823, 'z_mean': -0.700957291666667, 'z_std': 0.2399900747729269}]",1,0.95,488,"[{'cluster': 0, 'x_mean': 0.3383362368388367, 'x_std': 0.1468978691989952, 'y_mean': 0.5072517293270434, 'y_std': 0.11542863487028587, 'z_mean': -0.7614738504469853, 'z_std': 0.07757935365659242}, {'cluster': -1, 'x_mean': -0.12367398155737706, 'x_std': 0.3425650109799868, 'y_mean': 0.3264713729508196, 'y_std': 0.2963184757708647, 'z_mean': -0.8022713903688531, 'z_std': 0.15492580492670244}]",training_session_1
,1,0.95,67,"[{'cluster': 0, 'x_mean': -0.1198881346859803, 'x_std': 0.26019571165838035, 'y_mean': 0.4302935024804025, 'y_std': 0.13228659292664263, 'z_mean': -0.8397055734199805, 'z_std': 0.06047222201467994}, {'cluster': -1, 'x_mean': -0.16682402985074626, 'x_std': 0.42686279377380487, 'y_mean': 0.2054183283582089, 'y_std': 0.20192024420383786, 'z_mean': -0.8221897313432837, 'z_std': 0.17123961658813797}]",1,0.95,276,"[{'cluster': 0, 'x_mean': 0.35479722198059627, 'x_std': 0.08650723894917352, 'y_mean': 0.5376274063231841, 'y_std': 0.06849356613739808, 'z_mean': -0.7508665705921714, 'z_std': 0.046392302181390586}, {'cluster': -1, 'x_mean': 0.3269497717391307, 'x_std': 0.3387150838250833, 'y_mean': 0.3800423043478258, 'y_std': 0.17145930012804725, 'z_mean': -0.7615344619565219, 'z_std': 0.13757245803417525}]",training_session_2
,2,0.95,143,"[{'cluster': 0, 'x_mean': -0.14474981394107594, 'x_std': 0.25760834113534725, 'y_mean': 0.4467621772523473, 'y_std': 0.13370920311572596, 'z_mean': -0.8257788619235671, 'z_std': 0.07940871484280458}, {'cluster': 1, 'x_mean': -0.8156941032258066, 'x_std': 0.011170003096336086, 'y_mean': 0.09759481612903219, 'y_std': 0.073416306393292, 'z_mean': -0.5613553419354834, 'z_std': 0.02994345376961262}, {'cluster': -1, 'x_mean': -0.3893798811188813, 'x_std': 0.5040908533463773, 'y_mean': 0.17685274475524468, 'y_std': 0.2744947338838155, 'z_mean': -0.66886656993007, 'z_std': 0.19219647197349501}]",2,0.95,109,"[{'cluster': 0, 'x_mean': 0.30007914186507956, 'x_std': 0.16171419324204173, 'y_mean': 0.5340290095899459, 'y_std': 0.1210955754835849, 'z_mean': -0.7546004623015877, 'z_std': 0.08543584137795895}, {'cluster': 1, 'x_mean': 0.34475294720496896, 'x_std': 0.06484012937625903, 'y_mean': -0.08775960248447205, 'y_std': 0.04593660731568417, 'z_mean': -0.9283389161490687, 'z_std': 0.021401595412217228}, {'cluster': -1, 'x_mean': 0.04129706880733943, 'x_std': 0.38682962805684806, 'y_mean': 0.09609956880733943, 'y_std': 0.2531540966636438, 'z_mean': -0.8702623899082566, 'z_std': 0.12272754481039228}]",training_session_3
,1,0.95,392,"[{'cluster': 0, 'x_mean': -0.0915925222327345, 'x_std': 0.23681380452180023, 'y_mean': 0.4421399724692528, 'y_std': 0.10248928155398244, 'z_mean': -0.8475705295648034, 'z_std': 0.060515629074876516}, {'cluster': -1, 'x_mean': -0.48795200382653114, 'x_std': 0.35248913518599856, 'y_mean': 0.19430339030612234, 'y_std': 0.22578268346861724, 'z_mean': -0.7161647576530609, 'z_std': 0.17266140161853166}]",1,0.95,111,"[{'cluster': 0, 'x_mean': 0.3732448017489063, 'x_std': 0.15732526907006533, 'y_mean': 0.2816095472204868, 'y_std': 0.33371137986281496, 'z_mean': -0.7946094001249225, 'z_std': 0.08390276652280751}, {'cluster': -1, 'x_mean': 0.06723091891891902, 'x_std': 0.4579198751527267, 'y_mean': 0.08173166666666666, 'y_std': 0.2361770267039722, 'z_mean': -0.8284152837837835, 'z_std': 0.18517332921739252}]",training_session_4
,1,0.95,321,"[{'cluster': 0, 'x_mean': -0.10691876137519964, 'x_std': 0.18860794716099258, 'y_mean': 0.3891889861898526, 'y_std': 0.11655202966098302, 'z_mean': -0.8818197231428974, 'z_std': 0.050119694005091496}, {'cluster': -1, 'x_mean': 0.17035618224299057, 'x_std': 0.37741497291604514, 'y_mean': 0.355064601246106, 'y_std': 0.2859950761865789, 'z_mean': -0.7747594314641736, 'z_std': 0.11790431261150122}]",1,0.95,430,"[{'cluster': 0, 'x_mean': 0.3485848604056732, 'x_std': 0.12921515574382492, 'y_mean': 0.5114560145118735, 'y_std': 0.11095645258416562, 'z_mean': -0.7591034200197879, 'z_std': 0.061920795819788994}, {'cluster': -1, 'x_mean': 0.227102193023256, 'x_std': 0.3247583663592802, 'y_mean': 0.04302472325581394, 'y_std': 0.2834595711416229, 'z_mean': -0.8568577651162785, 'z_std': 0.13860532062148886}]",training_session_5
,1,0.95,63,"[{'cluster': 0, 'x_mean': -0.24062148183533819, 'x_std': 0.18308357609928835, 'y_mean': 0.37211514236848425, 'y_std': 0.12289034942764662, 'z_mean': -0.8616078911299844, 'z_std': 0.07403600051550427}, {'cluster': -1, 'x_mean': -0.168967753968254, 'x_std': 0.5656090068550494, 'y_mean': 0.40723860317460303, 'y_std': 0.16528157641473043, 'z_mean': -0.6667619523809521, 'z_std': 0.12100161131910712}]",1,0.95,123,"[{'cluster': 0, 'x_mean': 0.35915257310411247, 'x_std': 0.15585360720649036, 'y_mean': 0.5440512442159395, 'y_std': 0.0728754102230427, 'z_mean': -0.73102411503856, 'z_std': 0.061348312969895666}, {'cluster': -1, 'x_mean': 0.13798151626016264, 'x_std': 0.1497996913962154, 'y_mean': 0.250495569105691, 'y_std': 0.22423390232583434, 'z_mean': -0.906346093495935, 'z_std': 0.12146887229014665}]",training_session_6
,1,0.95,261,"[{'cluster': 0, 'x_mean': -0.06991400242031615, 'x_std': 0.21406011559601834, 'y_mean': 0.4242293502010717, 'y_std': 0.1250021599451715, 'z_mean': -0.861853184912128, 'z_std': 0.058865079288639835}, {'cluster': -1, 'x_mean': -0.34318222605363996, 'x_std': 0.37258343419551243, 'y_mean': 0.3235872279693488, 'y_std': 0.29020101525951403, 'z_mean': -0.7255295651340986, 'z_std': 0.14720420487107208}]",1,0.95,865,"[{'cluster': 0, 'x_mean': 0.253038771443389, 'x_std': 0.19773105061177912, 'y_mean': 0.5375128992659368, 'y_std': 0.14130090770261808, 'z_mean': -0.7571356888614058, 'z_std': 0.07889243996661627}, {'cluster': -1, 'x_mean': 0.3056887838150288, 'x_std': 0.29096334863280376, 'y_mean': -0.13524801907514447, 'y_std': 0.2407058614277598, 'z_mean': -0.8460311895953769, 'z_std': 0.15306399826704922}]",training_session_7
,1,0.95,108,"[{'cluster': 0, 'x_mean': -0.12790040650362558, 'x_std': 0.22108314949876026, 'y_mean': 0.3737908794502756, 'y_std': 0.11822294624912358, 'z_mean': -0.8779195672546306, 'z_std': 0.058493569171036514}, {'cluster': -1, 'x_mean': 0.10807988425925925, 'x_std': 0.5143527370247107, 'y_mean': 0.38615708796296305, 'y_std': 0.24368306277271085, 'z_mean': -0.7117554907407408, 'z_std': 0.0886775382879622}]",2,0.95,398,"[{'cluster': 0, 'x_mean': 0.39340519514916655, 'x_std': 0.134070178776682, 'y_mean': 0.5283035990721168, 'y_std': 0.09092692753398246, 'z_mean': -0.7289147260981913, 'z_std': 0.04664857831800346}, {'cluster': 1, 'x_mean': 0.5407183612903225, 'x_std': 0.019515582284622766, 'y_mean': -0.06586070806451613, 'y_std': 0.029760968188668826, 'z_mean': -0.8363074645161283, 'z_std': 0.012645125868304918}, {'cluster': -1, 'x_mean': 0.09939891331658295, 'x_std': 0.32272129856535614, 'y_mean': 0.3078715113065329, 'y_std': 0.22320014754915649, 'z_mean': -0.8482710150753775, 'z_std': 0.12324208628552422}]",training_session_8
,1,0.95,300,"[{'cluster': 0, 'x_mean': -0.1217054213305814, 'x_std': 0.18555253945656916, 'y_mean': 0.4529125386669901, 'y_std': 0.08779005253010054, 'z_mean': -0.8529941540002423, 'z_std': 0.05328948131921582}, {'cluster': -1, 'x_mean': -0.12392851499999996, 'x_std': 0.38096532643511444, 'y_mean': 0.29693938666666675, 'y_std': 0.2524174048201695, 'z_mean': -0.8156862566666669, 'z_std': 0.1250408390862445}]",1,0.95,379,"[{'cluster': 0, 'x_mean': 0.4033424418076764, 'x_std': 0.16722006037297718, 'y_mean': 0.45895840435410523, 'y_std': 0.1133316366477384, 'z_mean': -0.7578034004333466, 'z_std': 0.06754693521492104}, {'cluster': -1, 'x_mean': 0.1435330079155673, 'x_std': 0.4143803901902383, 'y_mean': 0.15689429287598938, 'y_std': 0.19118305773523978, 'z_mean': -0.8547656767810023, 'z_std': 0.10425260062027404}]",training_session_9
