session,num_clusters_child,eps_max_child,child_noise,child_info,num_clusters_parent,eps_max_parent,parent_noise,parent_info,video
,1,0.95,899,"[{'cluster': 0, 'x_mean': -0.12277703432233712, 'x_std': 0.16923509150234708, 'y_mean': 0.49356909499642204, 'y_std': 0.09451383398203661, 'z_mean': -0.8322275954518851, 'z_std': 0.051177392514161396}, {'cluster': -1, 'x_mean': 0.13259649165739695, 'x_std': 0.23255189453299077, 'y_mean': 0.48143273692992217, 'y_std': 0.3205836889356023, 'z_mean': -0.7497825222469399, 'z_std': 0.1595220116546224}]",1,0.95,583,"[{'cluster': 0, 'x_mean': 0.40785699180871776, 'x_std': 0.1399850136260152, 'y_mean': 0.46128770547854475, 'y_std': 0.08360157749106123, 'z_mean': -0.7668250519334041, 'z_std': 0.045285921779435294}, {'cluster': -1, 'x_mean': 0.23194721698113185, 'x_std': 0.3685299557213739, 'y_mean': 0.37581391080617516, 'y_std': 0.18715960591032998, 'z_mean': -0.7786423001715271, 'z_std': 0.1488871020679392}]",training_session_0
,1,0.95,143,"[{'cluster': 0, 'x_mean': -0.12797318484410783, 'x_std': 0.13063865393607874, 'y_mean': 0.4502768211749118, 'y_std': 0.12631575916023277, 'z_mean': -0.8572938421211022, 'z_std': 0.05687172133503559}, {'cluster': -1, 'x_mean': -0.16938378671328672, 'x_std': 0.38385982049226486, 'y_mean': 0.27269167482517476, 'y_std': 0.21070912707976297, 'z_mean': -0.8317491888111883, 'z_std': 0.09703155743096258}]",1,0.95,806,"[{'cluster': 0, 'x_mean': 0.4509834596210683, 'x_std': 0.04716998346438472, 'y_mean': 0.47727573085192065, 'y_std': 0.04460060913747022, 'z_mean': -0.7478253247111034, 'z_std': 0.025287398707225465}, {'cluster': -1, 'x_mean': 0.4494872630272956, 'x_std': 0.18709897392477762, 'y_mean': 0.3901029218362286, 'y_std': 0.14504012161807855, 'z_mean': -0.7599996358560802, 'z_std': 0.0860116278038292}]",training_session_1
,1,0.95,138,"[{'cluster': 0, 'x_mean': -0.09224674751530958, 'x_std': 0.1421751291321696, 'y_mean': 0.4540949535187256, 'y_std': 0.12447627030687368, 'z_mean': -0.8582430035137009, 'z_std': 0.05864509837513026}, {'cluster': -1, 'x_mean': -0.16666351449275366, 'x_std': 0.2686592187009066, 'y_mean': 0.038423905797101456, 'y_std': 0.16976131959006993, 'z_mean': -0.9258341485507248, 'z_std': 0.08491533200878436}]",1,0.95,305,"[{'cluster': 0, 'x_mean': 0.47850924675719536, 'x_std': 0.06513828795055433, 'y_mean': 0.4477690153526556, 'y_std': 0.05716947119556806, 'z_mean': -0.7461360399270389, 'z_std': 0.04030069828683027}, {'cluster': -1, 'x_mean': 0.5182387655737705, 'x_std': 0.19869043893737054, 'y_mean': 0.36241949016393443, 'y_std': 0.14039156208274925, 'z_mean': -0.7219204836065575, 'z_std': 0.1178037746093488}]",training_session_2
,1,0.95,286,"[{'cluster': 0, 'x_mean': -0.0236690314026934, 'x_std': 0.1316026508474373, 'y_mean': 0.47655325664402143, 'y_std': 0.07092698379334995, 'z_mean': -0.8598679355261577, 'z_std': 0.03840098150763638}, {'cluster': -1, 'x_mean': -0.15478533916083928, 'x_std': 0.26797912417544884, 'y_mean': 0.1608868461538462, 'y_std': 0.15369687572857035, 'z_mean': -0.9175295017482515, 'z_std': 0.07733664584195084}]",1,0.95,406,"[{'cluster': 0, 'x_mean': 0.46526853817278774, 'x_std': 0.048084539929409365, 'y_mean': 0.46946034678909665, 'y_std': 0.05797603152654197, 'z_mean': -0.7426789006699005, 'z_std': 0.03457908235957073}, {'cluster': -1, 'x_mean': 0.26890141009852203, 'x_std': 0.3378682530486923, 'y_mean': 0.37467769827586156, 'y_std': 0.14462896695330338, 'z_mean': -0.797323929802956, 'z_std': 0.10598524476687515}]",training_session_3
,1,0.95,124,"[{'cluster': 0, 'x_mean': -0.10017574733869206, 'x_std': 0.12913965160402235, 'y_mean': 0.4885317420160764, 'y_std': 0.07677831655048215, 'z_mean': -0.8469448573756236, 'z_std': 0.04499314575699983}, {'cluster': -1, 'x_mean': -0.24550712903225796, 'x_std': 0.31087907295051664, 'y_mean': 0.3527623709677418, 'y_std': 0.13142821153349757, 'z_mean': -0.8307102822580645, 'z_std': 0.07996531579069172}]",1,0.95,190,"[{'cluster': 0, 'x_mean': 0.44002258744902595, 'x_std': 0.08533350762332369, 'y_mean': 0.4925577473946525, 'y_std': 0.04899672568621119, 'z_mean': -0.7404182522655158, 'z_std': 0.0359228679055574}, {'cluster': -1, 'x_mean': 0.3793500105263157, 'x_std': 0.2011779871095484, 'y_mean': 0.37421075789473673, 'y_std': 0.12105977042297887, 'z_mean': -0.8067058473684212, 'z_std': 0.07797962575830401}]",training_session_4
,1,0.95,248,"[{'cluster': 0, 'x_mean': -0.04988146086842365, 'x_std': 0.15540946779915552, 'y_mean': 0.45198943298608213, 'y_std': 0.0886304328870915, 'z_mean': -0.8662959104438428, 'z_std': 0.04412008523637521}, {'cluster': -1, 'x_mean': -0.22277451612903226, 'x_std': 0.3365245878294227, 'y_mean': 0.25682447782258067, 'y_std': 0.19066987177851918, 'z_mean': -0.8485111209677421, 'z_std': 0.09992351412242456}]",1,0.95,341,"[{'cluster': 0, 'x_mean': 0.4352927895892658, 'x_std': 0.05875698420910465, 'y_mean': 0.47066935762504747, 'y_std': 0.06238340430985283, 'z_mean': -0.7585908880845882, 'z_std': 0.04068342633329768}, {'cluster': -1, 'x_mean': 0.3412652448680352, 'x_std': 0.283799677373888, 'y_mean': 0.38358951759530796, 'y_std': 0.15094361988777852, 'z_mean': -0.7881438519061584, 'z_std': 0.08646871870374266}]",training_session_5
,1,0.95,173,"[{'cluster': 0, 'x_mean': -0.08890010501009135, 'x_std': 0.1620863719045551, 'y_mean': 0.42697894888994425, 'y_std': 0.07766436136971605, 'z_mean': -0.8753158369345805, 'z_std': 0.04875955113120998}, {'cluster': -1, 'x_mean': -0.05040042196531786, 'x_std': 0.29853074421832126, 'y_mean': 0.2152498583815028, 'y_std': 0.20905094685354117, 'z_mean': -0.8953438554913293, 'z_std': 0.09943254060688603}]",1,0.95,506,"[{'cluster': 0, 'x_mean': 0.4925884486262721, 'x_std': 0.057661330403760556, 'y_mean': 0.44461533358424304, 'y_std': 0.05932354328655668, 'z_mean': -0.7393245819219678, 'z_std': 0.034550908130991646}, {'cluster': -1, 'x_mean': 0.32243384980237144, 'x_std': 0.14173775955933263, 'y_mean': 0.4046061314229247, 'y_std': 0.14744209639085684, 'z_mean': -0.8253223636363636, 'z_std': 0.06646550678500322}]",training_session_6
,1,0.95,118,"[{'cluster': 0, 'x_mean': -0.17737709106043734, 'x_std': 0.23428171660761382, 'y_mean': 0.3068119895066089, 'y_std': 0.213889256569836, 'z_mean': -0.8735619717990136, 'z_std': 0.054824553378564386}, {'cluster': -1, 'x_mean': -0.3938805677966101, 'x_std': 0.3701032107442527, 'y_mean': 0.24263940677966103, 'y_std': 0.283920292489856, 'z_mean': -0.7383269957627118, 'z_std': 0.12998087615083237}]",1,0.95,218,"[{'cluster': 0, 'x_mean': 0.5331380746166924, 'x_std': 0.09155501615508643, 'y_mean': 0.3947876080068132, 'y_std': 0.08490820690917933, 'z_mean': -0.7332732749574091, 'z_std': 0.05079414230410302}, {'cluster': -1, 'x_mean': 0.45708968119266064, 'x_std': 0.48831211757649157, 'y_mean': 0.31976971559633033, 'y_std': 0.0985119899663992, 'z_mean': -0.6369170252293576, 'z_std': 0.18019593809990717}]",training_session_7
,1,0.95,174,"[{'cluster': 0, 'x_mean': -0.1135442759413871, 'x_std': 0.13725553367438553, 'y_mean': 0.43622679894360084, 'y_std': 0.11122103419161211, 'z_mean': -0.8679056347759416, 'z_std': 0.0528472906383451}, {'cluster': -1, 'x_mean': -0.36676694827586204, 'x_std': 0.29676014144876006, 'y_mean': 0.12313946551724131, 'y_std': 0.2312145575260623, 'z_mean': -0.8236884252873562, 'z_std': 0.16038332789965354}]",1,0.95,829,"[{'cluster': 0, 'x_mean': 0.4747783594527381, 'x_std': 0.059138878632588585, 'y_mean': 0.4415113493159211, 'y_std': 0.04358333135528605, 'z_mean': -0.7545785088930359, 'z_std': 0.028958474507773075}, {'cluster': -1, 'x_mean': 0.6163383232810622, 'x_std': 0.17160812923538765, 'y_mean': 0.318674896260555, 'y_std': 0.11086354043268959, 'z_mean': -0.6784224246079614, 'z_std': 0.11557684043966489}]",training_session_8
,1,0.95,177,"[{'cluster': 0, 'x_mean': -0.15532811163101654, 'x_std': 0.1525133836061373, 'y_mean': 0.419771595885324, 'y_std': 0.12353256986382548, 'z_mean': -0.8649735077243017, 'z_std': 0.05942456141026683}, {'cluster': -1, 'x_mean': -0.30874009604519764, 'x_std': 0.253655745125595, 'y_mean': 0.2431206214689265, 'y_std': 0.3116615648907503, 'z_mean': -0.8075266186440679, 'z_std': 0.159140808950619}]",1,0.95,306,"[{'cluster': 0, 'x_mean': 0.47787482797902886, 'x_std': 0.10591454256056045, 'y_mean': 0.437509592421352, 'y_std': 0.06685977543059428, 'z_mean': -0.7461522868922799, 'z_std': 0.05990264508925755}, {'cluster': -1, 'x_mean': 0.31894941339869276, 'x_std': 0.37659664882932126, 'y_mean': 0.2846146013071895, 'y_std': 0.11145826207203113, 'z_mean': -0.7989980653594775, 'z_std': 0.13891169339020176}]",training_session_9
