session,num_clusters_child,eps_max_child,child_noise,child_info,num_clusters_parent,eps_max_parent,parent_noise,parent_info,video
,1,0.95,30,"[{'cluster': 0, 'x_mean': -0.21065972860686225, 'x_std': 0.14736228708122587, 'y_mean': 0.4286199676519211, 'y_std': 0.10556305931819945, 'z_mean': -0.8530699486358007, 'z_std': 0.05012744395093836}, {'cluster': -1, 'x_mean': -0.3384359500000001, 'x_std': 0.345270475635016, 'y_mean': 0.08447465, 'y_std': 0.10810261957495805, 'z_mean': -0.8531931666666669, 'z_std': 0.13994633390322886}]",1,0.95,108,"[{'cluster': 0, 'x_mean': 0.42507321079027194, 'x_std': 0.1401577224350868, 'y_mean': 0.3969764243161092, 'y_std': 0.10061092621091328, 'z_mean': -0.7907303892097264, 'z_std': 0.04224471543845923}, {'cluster': -1, 'x_mean': 0.33711665277777775, 'x_std': 0.26802798625076013, 'y_mean': -0.024748560185185172, 'y_std': 0.2410962487955748, 'z_mean': -0.8636128240740739, 'z_std': 0.0728892530771924}]",training_session_0
,1,0.95,215,"[{'cluster': 0, 'x_mean': -0.176685527302631, 'x_std': 0.08961578753089913, 'y_mean': 0.4659737194078956, 'y_std': 0.06525070860787664, 'z_mean': -0.8542710003289464, 'z_std': 0.03921959947931307}, {'cluster': -1, 'x_mean': -0.10703798139534886, 'x_std': 0.3279927159608123, 'y_mean': 0.3265897767441861, 'y_std': 0.15823607639514833, 'z_mean': -0.8573644186046514, 'z_std': 0.09884897435233472}]",1,0.95,508,"[{'cluster': 0, 'x_mean': 0.4335161192286288, 'x_std': 0.047211788105837246, 'y_mean': 0.3811018888373823, 'y_std': 0.05744746543651577, 'z_mean': -0.8098224901724455, 'z_std': 0.019933534776471692}, {'cluster': -1, 'x_mean': 0.22179424311023635, 'x_std': 0.17923331073886253, 'y_mean': 0.3303290954724408, 'y_std': 0.2312332369919117, 'z_mean': -0.8604884438976386, 'z_std': 0.08733142458724795}]",training_session_1
,1,0.95,330,"[{'cluster': 0, 'x_mean': -0.14277606949967633, 'x_std': 0.15375221230763159, 'y_mean': 0.4485759204198675, 'y_std': 0.08468602488589863, 'z_mean': -0.8584988569777096, 'z_std': 0.04421313372727754}, {'cluster': -1, 'x_mean': -0.2749259681818183, 'x_std': 0.341278086873981, 'y_mean': 0.28931579393939394, 'y_std': 0.2219459235244032, 'z_mean': -0.8092147484848488, 'z_std': 0.12145127996620265}]",4,0.95,163,"[{'cluster': 0, 'x_mean': 0.40545716921072167, 'x_std': 0.1132030571929369, 'y_mean': 0.37644235694340994, 'y_std': 0.07544028617857777, 'z_mean': -0.8181410175912155, 'z_std': 0.036870217519078055}, {'cluster': 1, 'x_mean': -0.045060547021943564, 'x_std': 0.09557297035963744, 'y_mean': -0.05229090909090914, 'y_std': 0.10779127821853407, 'z_mean': -0.9848049294670849, 'z_std': 0.011971507571525982}, {'cluster': 2, 'x_mean': 0.3057655536398466, 'x_std': 0.03774735209955635, 'y_mean': -0.1806174176245212, 'y_std': 0.05684198566040095, 'z_mean': -0.9301273831417627, 'z_std': 0.013777470900152935}, {'cluster': 3, 'x_mean': 0.5634012451456313, 'x_std': 0.037517304248181095, 'y_mean': 0.6000078082524273, 'y_std': 0.05405811076572502, 'z_mean': -0.5466304708737865, 'z_std': 0.03944207187665904}, {'cluster': -1, 'x_mean': 0.248206647239264, 'x_std': 0.3259708507671189, 'y_mean': 0.4047957085889569, 'y_std': 0.26941574940742585, 'z_mean': -0.7516650214723929, 'z_std': 0.15666731710840495}]",training_session_2
,1,0.95,231,"[{'cluster': 0, 'x_mean': -0.24123962007694752, 'x_std': 0.14485660369322834, 'y_mean': 0.4304899397084141, 'y_std': 0.09059253318492035, 'z_mean': -0.8466302944720058, 'z_std': 0.050827447798988325}, {'cluster': -1, 'x_mean': -0.30996137878787866, 'x_std': 0.24608113185533914, 'y_mean': 0.17161103246753243, 'y_std': 0.21619294168970424, 'z_mean': -0.8650132229437226, 'z_std': 0.12096239260819457}]",1,0.95,435,"[{'cluster': 0, 'x_mean': 0.41935406715048257, 'x_std': 0.11522030795326332, 'y_mean': 0.34924989706373016, 'y_std': 0.0631934892774604, 'z_mean': -0.8243082313980665, 'z_std': 0.0338599047771086}, {'cluster': -1, 'x_mean': 0.23680042873563206, 'x_std': 0.28285924083113756, 'y_mean': 0.2090757988505745, 'y_std': 0.1934276333085804, 'z_mean': -0.8767498758620687, 'z_std': 0.09156878480336379}]",training_session_3
,1,0.95,420,"[{'cluster': 0, 'x_mean': -0.03285873293963241, 'x_std': 0.13779087723768926, 'y_mean': 0.4518828348643906, 'y_std': 0.11258692473736813, 'z_mean': -0.8663411977799645, 'z_std': 0.052243466543754884}, {'cluster': -1, 'x_mean': -0.04531203214285713, 'x_std': 0.30715592280572934, 'y_mean': 0.08875678333333334, 'y_std': 0.2335945834389083, 'z_mean': -0.9044433845238102, 'z_std': 0.09581510944789598}]",1,0.95,674,"[{'cluster': 0, 'x_mean': 0.49427068289353915, 'x_std': 0.05946132330593273, 'y_mean': 0.4336638492135715, 'y_std': 0.07081174235154378, 'z_mean': -0.7433412623813874, 'z_std': 0.030641568838603507}, {'cluster': -1, 'x_mean': 0.33855849629080065, 'x_std': 0.29118453741529426, 'y_mean': 0.24730790356083107, 'y_std': 0.1646369916077005, 'z_mean': -0.8339574013353116, 'z_std': 0.10251188040023075}]",training_session_4
,1,0.95,224,"[{'cluster': 0, 'x_mean': -0.08334918703531605, 'x_std': 0.1587962444022499, 'y_mean': 0.4024931210501848, 'y_std': 0.11168309500519505, 'z_mean': -0.8848351063351898, 'z_std': 0.04386844221142139}, {'cluster': -1, 'x_mean': 0.09961642857142865, 'x_std': 0.4204936933959515, 'y_mean': 0.0469975223214285, 'y_std': 0.2359813724799997, 'z_mean': -0.8614831964285707, 'z_std': 0.0933685130006605}]",1,0.95,548,"[{'cluster': 0, 'x_mean': 0.41647405602260085, 'x_std': 0.09487540653630272, 'y_mean': 0.36753943949834655, 'y_std': 0.062035180144370615, 'z_mean': -0.8202565941289961, 'z_std': 0.031516758756051415}, {'cluster': -1, 'x_mean': 0.17146257025547454, 'x_std': 0.19457163256505364, 'y_mean': 0.21928342062043793, 'y_std': 0.2002779397575114, 'z_mean': -0.9120091660583947, 'z_std': 0.0860448949270396}]",training_session_5
,1,0.95,229,"[{'cluster': 0, 'x_mean': -0.16606753912974137, 'x_std': 0.13822947859863077, 'y_mean': 0.4187666620975483, 'y_std': 0.10072340191966545, 'z_mean': -0.8701564505100393, 'z_std': 0.046458802420020186}, {'cluster': -1, 'x_mean': -0.07515272925764195, 'x_std': 0.41826322883685796, 'y_mean': 0.34180544541484714, 'y_std': 0.205189902066574, 'z_mean': -0.79672414628821, 'z_std': 0.14638397293582867}]",1,0.95,405,"[{'cluster': 0, 'x_mean': 0.3627710094891255, 'x_std': 0.11492933672892908, 'y_mean': 0.4571519553754609, 'y_std': 0.09083179446932928, 'z_mean': -0.7917846152031183, 'z_std': 0.07338196132491005}, {'cluster': -1, 'x_mean': 0.47960238148148143, 'x_std': 0.31648692691462704, 'y_mean': 0.19580738641975312, 'y_std': 0.20203855316502833, 'z_mean': -0.7325735419753083, 'z_std': 0.21648965188591324}]",training_session_6
,1,0.95,224,"[{'cluster': 0, 'x_mean': -0.08048391617902054, 'x_std': 0.12595536190626475, 'y_mean': 0.2971949769722581, 'y_std': 0.24480390942655225, 'z_mean': -0.9029906207195477, 'z_std': 0.06572710387837075}, {'cluster': -1, 'x_mean': -0.3198371428571426, 'x_std': 0.44532382943694, 'y_mean': 0.37813510267857137, 'y_std': 0.1923984763994164, 'z_mean': -0.7088903950892865, 'z_std': 0.11844734778481482}]",1,0.95,191,"[{'cluster': 0, 'x_mean': 0.3441525132915495, 'x_std': 0.11021757441644994, 'y_mean': 0.27933800529500796, 'y_std': 0.14302214478151415, 'z_mean': -0.8718623787551326, 'z_std': 0.06764882643351645}, {'cluster': -1, 'x_mean': 0.3514962356020944, 'x_std': 0.34999433050954665, 'y_mean': -0.004227811518324584, 'y_std': 0.30718708514922544, 'z_mean': -0.8039628167539267, 'z_std': 0.09379794752507245}]",training_session_7
,1,0.95,246,"[{'cluster': 0, 'x_mean': -0.10638298223294561, 'x_std': 0.13710138557547868, 'y_mean': 0.44187864016231565, 'y_std': 0.1123628317333747, 'z_mean': -0.8662829968194784, 'z_std': 0.05497156375700651}, {'cluster': -1, 'x_mean': -0.18821643699186988, 'x_std': 0.40695816871543633, 'y_mean': 0.0146799593495935, 'y_std': 0.21490221095321943, 'z_mean': -0.8387049451219509, 'z_std': 0.20356864529762503}]",1,0.95,499,"[{'cluster': 0, 'x_mean': 0.48945251234633225, 'x_std': 0.05643466117604107, 'y_mean': 0.310070189593048, 'y_std': 0.08501951785445176, 'z_mean': -0.8048472892115321, 'z_std': 0.03284804053869689}, {'cluster': -1, 'x_mean': 0.2391986442885772, 'x_std': 0.23696522454317948, 'y_mean': 0.09693157214428857, 'y_std': 0.25591428680005796, 'z_mean': -0.8950744288577154, 'z_std': 0.06989138066756102}]",training_session_8
,2,0.95,25,"[{'cluster': 0, 'x_mean': -0.06866653008002288, 'x_std': 0.12493720168229684, 'y_mean': 0.44153622199199843, 'y_std': 0.12200219466678998, 'z_mean': -0.8710805995998819, 'z_std': 0.04796361237086853}, {'cluster': 1, 'x_mean': -0.5240423279450013, 'x_std': 0.012483442594566444, 'y_mean': -0.3454531802303977, 'y_std': 0.016775446456926715, 'z_mean': -0.7754008218134518, 'z_std': 0.008029911315412301}, {'cluster': -1, 'x_mean': -0.3705749200000001, 'x_std': 0.20186498660437624, 'y_mean': 0.027151820000000017, 'y_std': 0.32123629949679305, 'z_mean': -0.8405348000000002, 'z_std': 0.11261631603304277}]",1,0.95,231,"[{'cluster': 0, 'x_mean': 0.44124689569413494, 'x_std': 0.10493463396892833, 'y_mean': 0.3323370198589458, 'y_std': 0.08539083711721027, 'z_mean': -0.8188459829250165, 'z_std': 0.030710647359537536}, {'cluster': -1, 'x_mean': 0.029347567099567096, 'x_std': 0.19283722560359043, 'y_mean': 0.11655551298701297, 'y_std': 0.2291887139879251, 'z_mean': -0.9413756147186145, 'z_std': 0.06169814436194524}]",training_session_9
,1,0.95,29,"[{'cluster': 0, 'x_mean': -0.13710911953636526, 'x_std': 0.18977550811433203, 'y_mean': 0.37327455291098904, 'y_std': 0.15768452230344368, 'z_mean': -0.8767577212882668, 'z_std': 0.06103344306294604}, {'cluster': -1, 'x_mean': -0.16268141379310344, 'x_std': 0.5443345918595912, 'y_mean': 0.2589456206896552, 'y_std': 0.16254776889412578, 'z_mean': -0.7614818620689656, 'z_std': 0.10465179940802467}]",1,0.95,421,"[{'cluster': 0, 'x_mean': 0.48450802908019397, 'x_std': 0.07964803171346367, 'y_mean': 0.33966950448372984, 'y_std': 0.06667004810695037, 'z_mean': -0.7954848977709454, 'z_std': 0.03635243781820977}, {'cluster': -1, 'x_mean': 0.2538987767220901, 'x_std': 0.26215330942170545, 'y_mean': 0.11521623277909732, 'y_std': 0.22164896142542478, 'z_mean': -0.8874277624703084, 'z_std': 0.1057573431127412}]",training_session_10
,1,0.95,79,"[{'cluster': 0, 'x_mean': -0.12003381549942624, 'x_std': 0.20554032474018646, 'y_mean': 0.40499076222732505, 'y_std': 0.14322859189118525, 'z_mean': -0.8644472760045919, 'z_std': 0.06055148793208797}, {'cluster': -1, 'x_mean': -0.09970103164556968, 'x_std': 0.4154765555328769, 'y_mean': -0.058329664556962035, 'y_std': 0.3373115564222367, 'z_mean': -0.8274297658227848, 'z_std': 0.12312523825180215}]",1,0.95,88,"[{'cluster': 0, 'x_mean': 0.5572661572029449, 'x_std': 0.16198094878155117, 'y_mean': 0.2565517776025238, 'y_std': 0.15163263970028626, 'z_mean': -0.7486661382755, 'z_std': 0.08220521575155001}, {'cluster': -1, 'x_mean': -0.05389432954545453, 'x_std': 0.20389504555798132, 'y_mean': -0.03768263068181816, 'y_std': 0.262640500321459, 'z_mean': -0.9347329829545455, 'z_std': 0.09173197526607188}]",training_session_11
,1,0.95,191,"[{'cluster': 0, 'x_mean': -0.08048859616368309, 'x_std': 0.15374429459076164, 'y_mean': 0.4189967358056267, 'y_std': 0.09919726726067456, 'z_mean': -0.8797541476982109, 'z_std': 0.04830240188166211}, {'cluster': -1, 'x_mean': -0.22164575130890052, 'x_std': 0.36888065209968895, 'y_mean': 0.1963552068062827, 'y_std': 0.2772628125927929, 'z_mean': -0.8200006099476438, 'z_std': 0.15248877694605473}]",1,0.95,336,"[{'cluster': 0, 'x_mean': 0.46174668642160577, 'x_std': 0.06253819076394102, 'y_mean': 0.35594790485121347, 'y_std': 0.06942881081631798, 'z_mean': -0.8033298397099274, 'z_std': 0.03437766346357283}, {'cluster': -1, 'x_mean': 0.19716295684523807, 'x_std': 0.22494944776731793, 'y_mean': 0.2265705803571429, 'y_std': 0.21758078515830032, 'z_mean': -0.8949872678571434, 'z_std': 0.06959835215152112}]",training_session_12
