session,num_clusters_child,eps_max_child,child_noise,child_info,num_clusters_parent,eps_max_parent,parent_noise,parent_info,video
,1,0.95,244,"[{'cluster': 0, 'x_mean': -0.22767921332335186, 'x_std': 0.10664857552274552, 'y_mean': 0.46466774471057765, 'y_std': 0.07036160395843526, 'z_mean': -0.8409403037924145, 'z_std': 0.03146704852127554}, {'cluster': -1, 'x_mean': -0.19676260040983612, 'x_std': 0.23339678283550122, 'y_mean': 0.2601715553278688, 'y_std': 0.14155320795308995, 'z_mean': -0.8973296823770488, 'z_std': 0.09003963023452563}]",1,0.95,129,"[{'cluster': 0, 'x_mean': 0.45807966223908886, 'x_std': 0.12393238092682714, 'y_mean': 0.39492228774735727, 'y_std': 0.09447261225318808, 'z_mean': -0.7756360006776892, 'z_std': 0.035529587358746444}, {'cluster': -1, 'x_mean': 0.3458371860465118, 'x_std': 0.2871827394453644, 'y_mean': 0.21228662790697672, 'y_std': 0.27446785281457936, 'z_mean': -0.7988725310077517, 'z_std': 0.1802823562465708}]",training_session_0
,1,0.95,232,"[{'cluster': 0, 'x_mean': -0.23799089201321127, 'x_std': 0.17164604333082303, 'y_mean': 0.4168006767172016, 'y_std': 0.11728028928044784, 'z_mean': -0.8470714361819278, 'z_std': 0.03231103752632301}, {'cluster': -1, 'x_mean': -0.29969951939655176, 'x_std': 0.2207254073355695, 'y_mean': 0.15451943534482757, 'y_std': 0.1180873526377556, 'z_mean': -0.8989214849137926, 'z_std': 0.09623518183737993}]",1,0.95,225,"[{'cluster': 0, 'x_mean': 0.4355643804010173, 'x_std': 0.12000351510927527, 'y_mean': 0.39864228071166435, 'y_std': 0.09018180844443496, 'z_mean': -0.7877183422761946, 'z_std': 0.035723747945193805}, {'cluster': -1, 'x_mean': 0.2390096622222222, 'x_std': 0.24569705932699373, 'y_mean': 0.16090305111111108, 'y_std': 0.3020057698322123, 'z_mean': -0.8662152666666665, 'z_std': 0.0971449558349371}]",training_session_1
,1,0.95,422,"[{'cluster': 0, 'x_mean': -0.1619668599579432, 'x_std': 0.1287928714127261, 'y_mean': 0.4411839399674412, 'y_std': 0.08746915953347184, 'z_mean': -0.8633598876678852, 'z_std': 0.035772445637186734}, {'cluster': -1, 'x_mean': -0.37941299763033187, 'x_std': 0.3058352588815038, 'y_mean': 0.31561997748815185, 'y_std': 0.1721289739307286, 'z_mean': -0.788429047393365, 'z_std': 0.08304234143919118}]",2,0.95,43,"[{'cluster': 0, 'x_mean': 0.8492759361702127, 'x_std': 0.020387534899236254, 'y_mean': 0.10557029787234043, 'y_std': 0.04533642231342348, 'z_mean': -0.5035157765957446, 'z_std': 0.02899438085849539}, {'cluster': 1, 'x_mean': 0.2690951239600668, 'x_std': 0.1627443471986712, 'y_mean': 0.41348330074875245, 'y_std': 0.11835085788062172, 'z_mean': -0.8400549155574033, 'z_std': 0.04907462803836007}, {'cluster': -1, 'x_mean': 0.4175532325581393, 'x_std': 0.3886115774322698, 'y_mean': 0.10679583720930232, 'y_std': 0.2320741269157828, 'z_mean': -0.7710284883720929, 'z_std': 0.11797035329931559}]",training_session_2
,1,0.95,331,"[{'cluster': 0, 'x_mean': -0.1282781091287544, 'x_std': 0.15024660184841135, 'y_mean': 0.4832766256318758, 'y_std': 0.07879246420811992, 'z_mean': -0.8435969789622363, 'z_std': 0.03828743904979432}, {'cluster': -1, 'x_mean': -0.20434454984894243, 'x_std': 0.3220593280069631, 'y_mean': 0.2567995151057402, 'y_std': 0.1741486852507634, 'z_mean': -0.8618965332326288, 'z_std': 0.10065778418854336}]",2,0.95,32,"[{'cluster': 0, 'x_mean': 0.13402433817427373, 'x_std': 0.22482758521894358, 'y_mean': 0.33227420176348527, 'y_std': 0.09592630362130908, 'z_mean': -0.895705265560165, 'z_std': 0.05004481192231722}, {'cluster': 1, 'x_mean': 0.7145576020408163, 'x_std': 0.041345561044231656, 'y_mean': 0.1699431938775509, 'y_std': 0.04113419265328627, 'z_mean': -0.6693281632653062, 'z_std': 0.04172915828932198}, {'cluster': -1, 'x_mean': 0.5101595625, 'x_std': 0.289035494794764, 'y_mean': 0.094018875, 'y_std': 0.12889018191017776, 'z_mean': -0.7833335625000001, 'z_std': 0.1180887989257312}]",training_session_3
,1,0.95,510,"[{'cluster': 0, 'x_mean': -0.15859400811343607, 'x_std': 0.14686188575604953, 'y_mean': 0.45412758727631114, 'y_std': 0.0860852457576509, 'z_mean': -0.8541930499696703, 'z_std': 0.038718807248281625}, {'cluster': -1, 'x_mean': -0.4538093833333333, 'x_std': 0.1911068863057247, 'y_mean': 0.20689340196078423, 'y_std': 0.1438889911211067, 'z_mean': -0.826651949019608, 'z_std': 0.07434500217186447}]",1,0.95,428,"[{'cluster': 0, 'x_mean': 0.46504004147659994, 'x_std': 0.08350835349661724, 'y_mean': 0.42543303193107046, 'y_std': 0.072415607552826, 'z_mean': -0.7625502746240922, 'z_std': 0.04344260115020237}, {'cluster': -1, 'x_mean': 0.1661897955607476, 'x_std': 0.2624356086350865, 'y_mean': 0.3344791810747662, 'y_std': 0.20959338935210337, 'z_mean': -0.8532490619158877, 'z_std': 0.11441000955000957}]",training_session_4
,1,0.95,321,"[{'cluster': 0, 'x_mean': -0.02330186705177574, 'x_std': 0.16480056835918297, 'y_mean': 0.4327685629439444, 'y_std': 0.08418513665116485, 'z_mean': -0.8765734579803202, 'z_std': 0.039557686475556714}, {'cluster': -1, 'x_mean': -0.2093661510903426, 'x_std': 0.41073551429721183, 'y_mean': 0.2664583894080997, 'y_std': 0.14455554998934797, 'z_mean': -0.8268814376947041, 'z_std': 0.08780638314198666}]",1,0.95,57,"[{'cluster': 0, 'x_mean': 0.19267942112546108, 'x_std': 0.2232151838353903, 'y_mean': 0.3961922310885602, 'y_std': 0.0849020064286155, 'z_mean': -0.8595755627306277, 'z_std': 0.051297137901335596}, {'cluster': -1, 'x_mean': -0.011812947368421072, 'x_std': 0.34343284361269083, 'y_mean': 0.3169467807017543, 'y_std': 0.27266645714726484, 'z_mean': -0.8336119385964909, 'z_std': 0.0986463091006862}]",training_session_5
,1,0.95,357,"[{'cluster': 0, 'x_mean': 0.02277156065560369, 'x_std': 0.19708586776901413, 'y_mean': 0.42950097584402913, 'y_std': 0.07996755465480887, 'z_mean': -0.8719533735387874, 'z_std': 0.042046438576213964}, {'cluster': -1, 'x_mean': -0.3759642731092435, 'x_std': 0.2920018419851434, 'y_mean': 0.19618865546218503, 'y_std': 0.13806788031058567, 'z_mean': -0.8393982521008407, 'z_std': 0.08338688162999137}]",2,0.95,40,"[{'cluster': 0, 'x_mean': 0.7313757083333334, 'x_std': 0.04071861197072148, 'y_mean': 0.10737693055555558, 'y_std': 0.041769570399698766, 'z_mean': -0.664123013888889, 'z_std': 0.04358836982304787}, {'cluster': 1, 'x_mean': 0.2281907704918033, 'x_std': 0.30170528388190426, 'y_mean': 0.3697463200447094, 'y_std': 0.1058028710204353, 'z_mean': -0.8360507328613986, 'z_std': 0.05997517706453584}, {'cluster': -1, 'x_mean': 0.382235825, 'x_std': 0.3798566859237085, 'y_mean': 0.014817462500000007, 'y_std': 0.3317528194598639, 'z_mean': -0.7504863875000001, 'z_std': 0.18545315136075324}]",training_session_6
,1,0.95,683,"[{'cluster': 0, 'x_mean': -0.13986723745834823, 'x_std': 0.12367453144057844, 'y_mean': 0.4856630473435791, 'y_std': 0.07030604278331348, 'z_mean': -0.8452177946593847, 'z_std': 0.035673640650254954}, {'cluster': -1, 'x_mean': -0.09870189311859415, 'x_std': 0.39642907869030297, 'y_mean': 0.21119610248901924, 'y_std': 0.13136453327268047, 'z_mean': -0.8703728125915073, 'z_std': 0.09066858737978126}]",1,0.95,396,"[{'cluster': 0, 'x_mean': 0.48456651559220415, 'x_std': 0.08166516935246836, 'y_mean': 0.3147214377811093, 'y_std': 0.07101232716654789, 'z_mean': -0.8030287544227878, 'z_std': 0.041216566606105745}, {'cluster': -1, 'x_mean': -0.014021648989898994, 'x_std': 0.27158805271602365, 'y_mean': 0.40206120454545485, 'y_std': 0.18091302408583548, 'z_mean': -0.8449015530303031, 'z_std': 0.09309470371044293}]",training_session_7
,1,0.95,160,"[{'cluster': 0, 'x_mean': -0.05880089911818948, 'x_std': 0.1594952450728911, 'y_mean': 0.4086317057120288, 'y_std': 0.0958100046516769, 'z_mean': -0.8859449574230064, 'z_std': 0.04481447090969851}, {'cluster': -1, 'x_mean': -0.29872355937499995, 'x_std': 0.24529651888324266, 'y_mean': 0.11686960625000001, 'y_std': 0.17895583183086813, 'z_mean': -0.8901622781250003, 'z_std': 0.0862519371181747}]",1,0.95,120,"[{'cluster': 0, 'x_mean': 0.29042629715031537, 'x_std': 0.16511372378198705, 'y_mean': 0.36909848444637755, 'y_std': 0.09402902054595724, 'z_mean': -0.8550228338046564, 'z_std': 0.06929350631448547}, {'cluster': -1, 'x_mean': 0.22861174166666667, 'x_std': 0.2218781706237463, 'y_mean': -0.12009587916666667, 'y_std': 0.16998159556031672, 'z_mean': -0.9206197916666665, 'z_std': 0.06507348853365268}]",training_session_8
,1,0.95,661,"[{'cluster': 0, 'x_mean': -0.13310334413382163, 'x_std': 0.1271163030109341, 'y_mean': 0.42301174601283287, 'y_std': 0.08715047953676026, 'z_mean': -0.8773559194775453, 'z_std': 0.04327160989120241}, {'cluster': -1, 'x_mean': -0.22809593645990936, 'x_std': 0.3720548387853014, 'y_mean': 0.25380410968229955, 'y_std': 0.20460182088307927, 'z_mean': -0.8296121959152805, 'z_std': 0.09789303801421655}]",1,0.95,348,"[{'cluster': 0, 'x_mean': 0.46601758579947017, 'x_std': 0.06776300623773891, 'y_mean': 0.42185353191254477, 'y_std': 0.076849537694943, 'z_mean': -0.7641746605565375, 'z_std': 0.040295953084317965}, {'cluster': -1, 'x_mean': 0.10512164942528733, 'x_std': 0.15647027825002097, 'y_mean': 0.3053374152298852, 'y_std': 0.18805666558745274, 'z_mean': -0.9068867068965518, 'z_std': 0.07586470702619452}]",training_session_9
