session,num_clusters_child,eps_max_child,child_noise,child_info,num_clusters_parent,eps_max_parent,parent_noise,parent_info,video
,1,0.95,132,"[{'cluster': 0, 'x_mean': -0.0518902448335247, 'x_std': 0.21656551534748156, 'y_mean': 0.43436473593570646, 'y_std': 0.08832925715860074, 'z_mean': -0.8624550753444306, 'z_std': 0.044410433669386504}, {'cluster': -1, 'x_mean': -0.27711653787878787, 'x_std': 0.27169997163840764, 'y_mean': 0.29431054924242406, 'y_std': 0.196951028437331, 'z_mean': -0.8386988181818178, 'z_std': 0.1242693568281956}]",2,0.95,161,"[{'cluster': 0, 'x_mean': 0.4937000533220069, 'x_std': 0.1384130928290365, 'y_mean': 0.4461020172706685, 'y_std': 0.08963790818237519, 'z_mean': -0.7161734664024156, 'z_std': 0.09127535771122972}, {'cluster': 1, 'x_mean': -0.20100928995433784, 'x_std': 0.0416526320178882, 'y_mean': 0.5992066963470323, 'y_std': 0.05122577379366207, 'z_mean': -0.7660491506849311, 'z_std': 0.03541528642376326}, {'cluster': -1, 'x_mean': -0.0023862795031055913, 'x_std': 0.2852310745061791, 'y_mean': 0.4446558726708072, 'y_std': 0.17283575455558306, 'z_mean': -0.8068242204968945, 'z_std': 0.16027288250962252}]",training_session_0
,1,0.95,196,"[{'cluster': 0, 'x_mean': -0.3051845364884996, 'x_std': 0.16820336824607438, 'y_mean': 0.4194412897567432, 'y_std': 0.11256419947341707, 'z_mean': -0.8242867027966269, 'z_std': 0.057193439577283324}, {'cluster': -1, 'x_mean': -0.4504017474489795, 'x_std': 0.26584485478177367, 'y_mean': 0.07294441836734691, 'y_std': 0.22793002250209066, 'z_mean': -0.8027179795918367, 'z_std': 0.1409862813961066}]",1,0.95,378,"[{'cluster': 0, 'x_mean': 0.2906480237085586, 'x_std': 0.1410908523843512, 'y_mean': 0.5258388879144168, 'y_std': 0.06518921735190594, 'z_mean': -0.7781459706052438, 'z_std': 0.04386708849329197}, {'cluster': -1, 'x_mean': 0.38705071164021126, 'x_std': 0.3404682391746488, 'y_mean': 0.3442722089947092, 'y_std': 0.1621415507276957, 'z_mean': -0.7457407037037044, 'z_std': 0.1550080530632298}]",training_session_1
,1,0.95,401,"[{'cluster': 0, 'x_mean': -0.15302091783596827, 'x_std': 0.17817981980935063, 'y_mean': 0.466161325395257, 'y_std': 0.1072399190162659, 'z_mean': -0.8400999947134421, 'z_std': 0.054739050626397036}, {'cluster': -1, 'x_mean': -0.006895350374064879, 'x_std': 0.47520039000463793, 'y_mean': 0.19087067705735664, 'y_std': 0.20312704815677812, 'z_mean': -0.8231163316708234, 'z_std': 0.11156294754666406}]",1,0.95,184,"[{'cluster': 0, 'x_mean': 0.2811306601071686, 'x_std': 0.2124793276497964, 'y_mean': 0.49495058203991305, 'y_std': 0.0821335684826607, 'z_mean': -0.784555095528457, 'z_std': 0.04206245038414686}, {'cluster': -1, 'x_mean': 0.37525647282608704, 'x_std': 0.2565283669752976, 'y_mean': 0.18421499184782608, 'y_std': 0.277571271741124, 'z_mean': -0.8123575489130433, 'z_std': 0.1253379741847321}]",training_session_2
,1,0.95,105,"[{'cluster': 0, 'x_mean': -0.04140968767040308, 'x_std': 0.2750924165946954, 'y_mean': 0.41132789578915546, 'y_std': 0.13891831949233763, 'z_mean': -0.8483677985458953, 'z_std': 0.06685706911877758}, {'cluster': -1, 'x_mean': -0.39711580952380976, 'x_std': 0.4101522157060459, 'y_mean': 0.19582073333333327, 'y_std': 0.2580156595427571, 'z_mean': -0.7415120047619045, 'z_std': 0.12152081908731287}]",1,0.95,195,"[{'cluster': 0, 'x_mean': 0.392206506905756, 'x_std': 0.2225910797061792, 'y_mean': 0.44154741202414094, 'y_std': 0.11610747539899725, 'z_mean': -0.7597246282497677, 'z_std': 0.06680508247026698}, {'cluster': -1, 'x_mean': 0.4006220846153847, 'x_std': 0.44481029160547025, 'y_mean': 0.2717924384615384, 'y_std': 0.29069529522277887, 'z_mean': -0.6510903000000002, 'z_std': 0.20871801462261513}]",training_session_3
,1,0.95,168,"[{'cluster': 0, 'x_mean': -0.038373724294297834, 'x_std': 0.2008934911690207, 'y_mean': 0.3995707877791648, 'y_std': 0.13598692722982475, 'z_mean': -0.8775927121641555, 'z_std': 0.05490794172057887}, {'cluster': -1, 'x_mean': -0.473510943452381, 'x_std': 0.2104378147237584, 'y_mean': 0.27168213988095224, 'y_std': 0.2503658420531778, 'z_mean': -0.7605052946428571, 'z_std': 0.10558427003525778}]",1,0.95,907,"[{'cluster': 0, 'x_mean': 0.38811953968102253, 'x_std': 0.2557170852690232, 'y_mean': 0.4821510415630001, 'y_std': 0.09075882860458175, 'z_mean': -0.7271188197767182, 'z_std': 0.07029709793952536}, {'cluster': -1, 'x_mean': 0.2804995617420066, 'x_std': 0.3923255004196367, 'y_mean': 0.09930913836824697, 'y_std': 0.21499830281453156, 'z_mean': -0.8144323087100341, 'z_std': 0.18560345089638514}]",training_session_4
,1,0.95,37,"[{'cluster': 0, 'x_mean': -0.24585541988044707, 'x_std': 0.15789704501917315, 'y_mean': 0.46352508571152967, 'y_std': 0.12719978830863513, 'z_mean': -0.8196139941187799, 'z_std': 0.062276683607897655}, {'cluster': -1, 'x_mean': -0.2849160675675676, 'x_std': 0.36717480778351796, 'y_mean': 0.1196432027027027, 'y_std': 0.2224386631168885, 'z_mean': -0.8368160675675675, 'z_std': 0.14510115690207884}]",1,0.95,100,"[{'cluster': 0, 'x_mean': 0.4179656321744835, 'x_std': 0.13946079557307056, 'y_mean': 0.4529015093473265, 'y_std': 0.11189850008660472, 'z_mean': -0.7566419635946202, 'z_std': 0.06025686406752994}, {'cluster': -1, 'x_mean': 0.29915625, 'x_std': 0.34887990427093024, 'y_mean': 0.2671446200000001, 'y_std': 0.21282773284327322, 'z_mean': -0.7961958200000001, 'z_std': 0.16900270225887104}]",training_session_5
,1,0.95,152,"[{'cluster': 0, 'x_mean': -0.28623884670246696, 'x_std': 0.14623395169145395, 'y_mean': 0.4306277817586836, 'y_std': 0.12747638672944261, 'z_mean': -0.8269456033730503, 'z_std': 0.058486115486101026}, {'cluster': -1, 'x_mean': -0.34470226973684204, 'x_std': 0.32772615031946745, 'y_mean': 0.17495709868421055, 'y_std': 0.2224958931038271, 'z_mean': -0.8150795526315789, 'z_std': 0.1511903775039994}]",1,0.95,191,"[{'cluster': 0, 'x_mean': 0.4145758740475133, 'x_std': 0.0824078339954001, 'y_mean': 0.43660871481398356, 'y_std': 0.08021498899024887, 'z_mean': -0.7839954177498868, 'z_std': 0.041075774094455134}, {'cluster': -1, 'x_mean': 0.3115855497382197, 'x_std': 0.25226159222793404, 'y_mean': 0.38311903926701546, 'y_std': 0.18872060271498622, 'z_mean': -0.788247217277487, 'z_std': 0.1618245917948576}]",training_session_6
,1,0.95,51,"[{'cluster': 0, 'x_mean': -0.20758813988326807, 'x_std': 0.19954742432492134, 'y_mean': 0.4462798004863822, 'y_std': 0.1340890714057344, 'z_mean': -0.829796863132296, 'z_std': 0.06798806451232613}, {'cluster': -1, 'x_mean': -0.2593236470588235, 'x_std': 0.3235391995006832, 'y_mean': 0.04359576470588235, 'y_std': 0.29823723453610473, 'z_mean': -0.8448704019607842, 'z_std': 0.15104607138154968}]",1,0.95,212,"[{'cluster': 0, 'x_mean': 0.3106532545478171, 'x_std': 0.19229787060149922, 'y_mean': 0.5004508215956324, 'y_std': 0.07989643799831593, 'z_mean': -0.7732521924376266, 'z_std': 0.05864700467458527}, {'cluster': -1, 'x_mean': 0.22721851886792443, 'x_std': 0.1962957018057501, 'y_mean': 0.21958190801886796, 'y_std': 0.21631358993902863, 'z_mean': -0.887480341981132, 'z_std': 0.1362309934327369}]",training_session_7
,1,0.95,131,"[{'cluster': 0, 'x_mean': -0.17089315811070332, 'x_std': 0.23348425927530997, 'y_mean': 0.4237661462371211, 'y_std': 0.12255218507764257, 'z_mean': -0.842661889907454, 'z_std': 0.06850069260543991}, {'cluster': -1, 'x_mean': -0.30197606488549616, 'x_std': 0.3224480218365697, 'y_mean': 0.0413030038167939, 'y_std': 0.2272761521440593, 'z_mean': -0.8546258091603057, 'z_std': 0.11944639691216272}]",1,0.95,393,"[{'cluster': 0, 'x_mean': 0.3249841715523613, 'x_std': 0.13611850287126573, 'y_mean': 0.49845200165929165, 'y_std': 0.0646001238819275, 'z_mean': -0.7841267208702039, 'z_std': 0.0423800682107284}, {'cluster': -1, 'x_mean': 0.20460155725190843, 'x_std': 0.31456723770440476, 'y_mean': 0.3289197315521629, 'y_std': 0.17266844677859788, 'z_mean': -0.8302298702290074, 'z_std': 0.1535921534251056}]",training_session_8
,1,0.95,33,"[{'cluster': 0, 'x_mean': -0.25241150831485604, 'x_std': 0.14485595340069174, 'y_mean': 0.400232195676275, 'y_std': 0.1224530054799034, 'z_mean': -0.852694880266074, 'z_std': 0.06737201057393771}, {'cluster': -1, 'x_mean': -0.46320628787878787, 'x_std': 0.28410163277585493, 'y_mean': 0.1329961818181818, 'y_std': 0.17736294812217943, 'z_mean': -0.7952644545454547, 'z_std': 0.14340437745407236}]",1,0.95,22,"[{'cluster': 0, 'x_mean': 0.39762300927835037, 'x_std': 0.1467594938848285, 'y_mean': 0.4669432958762887, 'y_std': 0.061335305048547145, 'z_mean': -0.7672012731958758, 'z_std': 0.04478992574609848}, {'cluster': -1, 'x_mean': -0.06825829545454547, 'x_std': 0.09797128337713716, 'y_mean': 0.12002186363636363, 'y_std': 0.3509996616641695, 'z_mean': -0.9154704090909088, 'z_std': 0.09933718202339184}]",training_session_9
